"BLOCK_ID","STRIPE_ID","SOURCE_FILE","SOURCE_SIZE","SOURCE_MTIME","FAST_FILE","FAST_SIZE","NROWS","NCOLS","NVALUES","STATUS"
"BLOCK_004",45,"reverse_00045.tif",3654238,"2026-08-23 11:46:39","reverse_00045.rds",11980944,256,46800,11980800,"REUSED"
"BLOCK_004",46,"reverse_00046.tif",3654876,"2026-08-23 11:46:42","reverse_00046.rds",11980944,256,46800,11980800,"REUSED"
"BLOCK_004",47,"reverse_00047.tif",3679934,"2026-08-23 11:46:45","reverse_00047.rds",11980944,256,46800,11980800,"REUSED"
"BLOCK_004",48,"reverse_00048.tif",3656744,"2026-08-23 11:46:48","reverse_00048.rds",11980944,256,46800,11980800,"REUSED"
"BLOCK_004",49,"reverse_00049.tif",3629990,"2026-08-23 11:46:51","reverse_00049.rds",11980944,256,46800,11980800,"REUSED"
"BLOCK_004",50,"reverse_00050.tif",3662460,"2026-08-23 11:46:53","reverse_00050.rds",11980944,256,46800,11980800,"REUSED"
"BLOCK_004",51,"reverse_00051.tif",3666692,"2026-08-23 11:46:56","reverse_00051.rds",11980944,256,46800,11980800,"REUSED"
"BLOCK_004",52,"reverse_00052.tif",3682108,"2026-08-23 11:46:59","reverse_00052.rds",11980944,256,46800,11980800,"REUSED"
"BLOCK_004",53,"reverse_00053.tif",3677998,"2026-08-23 11:47:02","reverse_00053.rds",11980944,256,46800,11980800,"REUSED"
"BLOCK_004",54,"reverse_00054.tif",3676016,"2026-08-23 11:47:05","reverse_00054.rds",11980944,256,46800,11980800,"REUSED"
"BLOCK_004",55,"reverse_00055.tif",3684038,"2026-08-23 11:47:08","reverse_00055.rds",11980944,256,46800,11980800,"REUSED"
"BLOCK_004",56,"reverse_00056.tif",3688330,"2026-08-23 11:47:11","reverse_00056.rds",11980944,256,46800,11980800,"REUSED"
"BLOCK_004",57,"reverse_00057.tif",4602864,"2026-08-23 11:47:14","reverse_00057.rds",11980944,256,46800,11980800,"REUSED"
"BLOCK_004",58,"reverse_00058.tif",4900702,"2026-08-23 11:47:17","reverse_00058.rds",11980944,256,46800,11980800,"REUSED"
"BLOCK_004",59,"reverse_00059.tif",4871668,"2026-08-23 11:47:20","reverse_00059.rds",11980944,256,46800,11980800,"REUSED"
"BLOCK_004",60,"reverse_00060.tif",4862074,"2026-08-23 11:47:24","reverse_00060.rds",11980944,256,46800,11980800,"REUSED"
"BLOCK_004",61,"reverse_00061.tif",4823502,"2026-08-23 11:47:27","reverse_00061.rds",11980944,256,46800,11980800,"REUSED"
"BLOCK_004",62,"reverse_00062.tif",4810656,"2026-08-23 11:47:30","reverse_00062.rds",11980944,256,46800,11980800,"REUSED"
"BLOCK_004",63,"reverse_00063.tif",4823848,"2026-08-23 11:47:33","reverse_00063.rds",11980944,256,46800,11980800,"REUSED"
"BLOCK_004",64,"reverse_00064.tif",4849142,"2026-08-23 11:47:37","reverse_00064.rds",11980944,256,46800,11980800,"REUSED"
"BLOCK_004",65,"reverse_00065.tif",4856118,"2026-08-23 11:47:40","reverse_00065.rds",11980944,256,46800,11980800,"REUSED"
"BLOCK_004",66,"reverse_00066.tif",4837744,"2026-08-23 11:47:43","reverse_00066.rds",11980944,256,46800,11980800,"REUSED"
"BLOCK_004",67,"reverse_00067.tif",4827336,"2026-08-23 11:47:46","reverse_00067.rds",11980944,256,46800,11980800,"REUSED"
"BLOCK_004",68,"reverse_00068.tif",4846496,"2026-08-23 11:47:49","reverse_00068.rds",11980944,256,46800,11980800,"REUSED"
"BLOCK_004",69,"reverse_00069.tif",4814944,"2026-08-23 11:47:53","reverse_00069.rds",11980944,256,46800,11980800,"REUSED"
"BLOCK_004",70,"reverse_00070.tif",4792326,"2026-08-23 11:47:56","reverse_00070.rds",11980944,256,46800,11980800,"REUSED"
"BLOCK_004",71,"reverse_00071.tif",5088896,"2026-08-23 11:47:59","reverse_00071.rds",11980944,256,46800,11980800,"REUSED"
"BLOCK_004",72,"reverse_00072.tif",5252554,"2026-08-23 11:48:02","reverse_00072.rds",11980944,256,46800,11980800,"REUSED"
"BLOCK_004",73,"reverse_00073.tif",5275976,"2026-08-23 11:48:06","reverse_00073.rds",11980944,256,46800,11980800,"REUSED"
"BLOCK_004",74,"reverse_00074.tif",5305558,"2026-08-23 11:48:09","reverse_00074.rds",11980944,256,46800,11980800,"REUSED"
"BLOCK_004",75,"reverse_00075.tif",5280452,"2026-08-23 11:48:12","reverse_00075.rds",11980944,256,46800,11980800,"REUSED"
"BLOCK_004",76,"reverse_00076.tif",5208746,"2026-08-23 11:48:15","reverse_00076.rds",11980944,256,46800,11980800,"REUSED"
"BLOCK_004",77,"reverse_00077.tif",5181790,"2026-08-23 11:48:19","reverse_00077.rds",11980944,256,46800,11980800,"REUSED"
"BLOCK_004",78,"reverse_00078.tif",5239478,"2026-08-23 11:48:22","reverse_00078.rds",11980944,256,46800,11980800,"REUSED"
"BLOCK_004",79,"reverse_00079.tif",5288056,"2026-08-23 11:48:25","reverse_00079.rds",11980944,256,46800,11980800,"REUSED"
"BLOCK_004",80,"reverse_00080.tif",5308934,"2026-08-23 11:48:28","reverse_00080.rds",11980944,256,46800,11980800,"REUSED"
"BLOCK_004",81,"reverse_00081.tif",5301670,"2026-08-23 11:48:31","reverse_00081.rds",11980944,256,46800,11980800,"REUSED"
"BLOCK_004",82,"reverse_00082.tif",5264922,"2026-08-23 11:48:35","reverse_00082.rds",11980944,256,46800,11980800,"REUSED"
"BLOCK_004",83,"reverse_00083.tif",5196378,"2026-08-23 11:48:38","reverse_00083.rds",11980944,256,46800,11980800,"REUSED"
"BLOCK_004",84,"reverse_00084.tif",5231008,"2026-08-23 11:48:41","reverse_00084.rds",11980944,256,46800,11980800,"REUSED"
"BLOCK_004",85,"reverse_00085.tif",4756984,"2026-08-23 11:48:44","reverse_00085.rds",11980944,256,46800,11980800,"REUSED"
"BLOCK_004",86,"reverse_00086.tif",4418814,"2026-08-23 11:48:47","reverse_00086.rds",11980944,256,46800,11980800,"REUSED"
"BLOCK_004",87,"reverse_00087.tif",4383762,"2026-08-23 11:48:50","reverse_00087.rds",11980944,256,46800,11980800,"REUSED"
"BLOCK_004",88,"reverse_00088.tif",4394874,"2026-08-23 11:48:54","reverse_00088.rds",11980944,256,46800,11980800,"REUSED"
"BLOCK_004",89,"reverse_00089.tif",4396756,"2026-08-23 11:48:56","reverse_00089.rds",11980944,256,46800,11980800,"REUSED"
"BLOCK_004",90,"reverse_00090.tif",4389958,"2026-08-23 11:49:00","reverse_00090.rds",11980944,256,46800,11980800,"REUSED"
"BLOCK_004",91,"reverse_00091.tif",4413992,"2026-08-23 11:49:03","reverse_00091.rds",11980944,256,46800,11980800,"REUSED"
"BLOCK_004",92,"reverse_00092.tif",4396720,"2026-08-23 11:49:06","reverse_00092.rds",11980944,256,46800,11980800,"REUSED"
"BLOCK_004",93,"reverse_00093.tif",4411118,"2026-08-23 11:49:09","reverse_00093.rds",11980944,256,46800,11980800,"REUSED"
"BLOCK_004",94,"reverse_00094.tif",4409072,"2026-08-23 11:49:12","reverse_00094.rds",11980944,256,46800,11980800,"REUSED"
"BLOCK_004",95,"reverse_00095.tif",4395156,"2026-08-23 11:49:15","reverse_00095.rds",11980944,256,46800,11980800,"REUSED"
"BLOCK_004",96,"reverse_00096.tif",4389324,"2026-08-23 11:49:19","reverse_00096.rds",11980944,256,46800,11980800,"REUSED"
"BLOCK_004",97,"reverse_00097.tif",4405378,"2026-08-23 11:49:22","reverse_00097.rds",11980944,256,46800,11980800,"REUSED"
"BLOCK_004",98,"reverse_00098.tif",4420736,"2026-08-23 11:49:25","reverse_00098.rds",11980944,256,46800,11980800,"REUSED"
"BLOCK_004",99,"reverse_00099.tif",4389638,"2026-08-23 11:49:29","reverse_00099.rds",11980944,256,46800,11980800,"REUSED"
"BLOCK_004",100,"reverse_00100.tif",4402960,"2026-08-23 11:49:32","reverse_00100.rds",11980944,256,46800,11980800,"REUSED"
"BLOCK_004",101,"reverse_00101.tif",4412500,"2026-08-23 11:49:35","reverse_00101.rds",11980944,256,46800,11980800,"REUSED"
"BLOCK_004",102,"reverse_00102.tif",4409128,"2026-08-23 11:49:38","reverse_00102.rds",11980944,256,46800,11980800,"REUSED"
"BLOCK_004",103,"reverse_00103.tif",4405168,"2026-08-23 11:49:41","reverse_00103.rds",11980944,256,46800,11980800,"REUSED"
"BLOCK_004",104,"reverse_00104.tif",4395488,"2026-08-23 11:49:44","reverse_00104.rds",11980944,256,46800,11980800,"REUSED"
"BLOCK_004",105,"reverse_00105.tif",4378266,"2026-08-23 11:49:47","reverse_00105.rds",11980944,256,46800,11980800,"REUSED"
"BLOCK_004",106,"reverse_00106.tif",4353196,"2026-08-23 11:49:50","reverse_00106.rds",11980944,256,46800,11980800,"REUSED"
"BLOCK_004",107,"reverse_00107.tif",4356574,"2026-08-23 11:49:53","reverse_00107.rds",11980944,256,46800,11980800,"REUSED"
"BLOCK_004",108,"reverse_00108.tif",4366912,"2026-08-23 11:49:56","reverse_00108.rds",11980944,256,46800,11980800,"REUSED"
"BLOCK_004",109,"reverse_00109.tif",4388162,"2026-08-23 11:49:59","reverse_00109.rds",11980944,256,46800,11980800,"REUSED"
"BLOCK_004",110,"reverse_00110.tif",4378416,"2026-08-23 11:50:02","reverse_00110.rds",11980944,256,46800,11980800,"REUSED"
"BLOCK_004",111,"reverse_00111.tif",4366686,"2026-08-23 11:50:05","reverse_00111.rds",11980944,256,46800,11980800,"REUSED"
"BLOCK_004",112,"reverse_00112.tif",4350362,"2026-08-23 11:50:08","reverse_00112.rds",11980944,256,46800,11980800,"REUSED"
"BLOCK_004",113,"reverse_00113.tif",4128624,"2026-08-23 11:50:11","reverse_00113.rds",11980944,256,46800,11980800,"REUSED"
"BLOCK_004",114,"reverse_00114.tif",3903662,"2026-08-23 11:50:14","reverse_00114.rds",11980944,256,46800,11980800,"REUSED"
"BLOCK_004",115,"reverse_00115.tif",3900494,"2026-08-23 11:50:17","reverse_00115.rds",11980944,256,46800,11980800,"REUSED"
"BLOCK_004",116,"reverse_00116.tif",3902958,"2026-08-23 11:50:20","reverse_00116.rds",11980944,256,46800,11980800,"REUSED"
"BLOCK_004",117,"reverse_00117.tif",3880222,"2026-08-23 11:50:23","reverse_00117.rds",11980944,256,46800,11980800,"REUSED"
"BLOCK_004",118,"reverse_00118.tif",3861888,"2026-08-23 11:50:26","reverse_00118.rds",11980944,256,46800,11980800,"REUSED"
"BLOCK_004",119,"reverse_00119.tif",3871152,"2026-08-23 11:50:29","reverse_00119.rds",11980944,256,46800,11980800,"REUSED"
"BLOCK_004",120,"reverse_00120.tif",3879502,"2026-08-23 11:50:33","reverse_00120.rds",11980944,256,46800,11980800,"REUSED"
"BLOCK_004",121,"reverse_00121.tif",3869962,"2026-08-23 11:50:36","reverse_00121.rds",11980944,256,46800,11980800,"REUSED"
"BLOCK_004",122,"reverse_00122.tif",3858412,"2026-08-23 11:50:39","reverse_00122.rds",11980944,256,46800,11980800,"REUSED"
"BLOCK_004",123,"reverse_00123.tif",3856414,"2026-08-23 11:50:42","reverse_00123.rds",11980944,256,46800,11980800,"REUSED"
"BLOCK_004",124,"reverse_00124.tif",3826856,"2026-08-23 11:50:44","reverse_00124.rds",11980944,256,46800,11980800,"REUSED"
"BLOCK_004",125,"reverse_00125.tif",3829020,"2026-08-23 11:50:48","reverse_00125.rds",11980944,256,46800,11980800,"REUSED"
"BLOCK_004",126,"reverse_00126.tif",3807806,"2026-08-23 11:50:50","reverse_00126.rds",11980944,256,46800,11980800,"REUSED"
"BLOCK_004",127,"reverse_00127.tif",3498832,"2026-08-23 11:50:53","reverse_00127.rds",11980944,256,46800,11980800,"REUSED"
"BLOCK_004",128,"reverse_00128.tif",3091140,"2026-08-23 11:50:56","reverse_00128.rds",11980944,256,46800,11980800,"REUSED"
"BLOCK_004",129,"reverse_00129.tif",3084192,"2026-08-23 11:50:59","reverse_00129.rds",11980944,256,46800,11980800,"REUSED"
"BLOCK_004",130,"reverse_00130.tif",3068654,"2026-08-23 11:51:02","reverse_00130.rds",11980944,256,46800,11980800,"REUSED"
"BLOCK_004",131,"reverse_00131.tif",3065710,"2026-08-23 11:51:05","reverse_00131.rds",11980944,256,46800,11980800,"REUSED"
"BLOCK_004",132,"reverse_00132.tif",3077056,"2026-08-23 11:51:07","reverse_00132.rds",11980944,256,46800,11980800,"REUSED"
"BLOCK_004",133,"reverse_00133.tif",3072294,"2026-08-23 11:51:10","reverse_00133.rds",11980944,256,46800,11980800,"REUSED"
"BLOCK_004",134,"reverse_00134.tif",3081492,"2026-08-23 11:51:13","reverse_00134.rds",11980944,256,46800,11980800,"REUSED"
"BLOCK_004",135,"reverse_00135.tif",3093158,"2026-08-23 11:51:16","reverse_00135.rds",11980944,256,46800,11980800,"REUSED"
"BLOCK_004",136,"reverse_00136.tif",3069972,"2026-08-23 11:51:19","reverse_00136.rds",11980944,256,46800,11980800,"REUSED"
"BLOCK_004",137,"reverse_00137.tif",3079052,"2026-08-23 11:51:22","reverse_00137.rds",11980944,256,46800,11980800,"REUSED"
"BLOCK_004",138,"reverse_00138.tif",3070416,"2026-08-23 11:51:25","reverse_00138.rds",11980944,256,46800,11980800,"REUSED"
"BLOCK_004",139,"reverse_00139.tif",3069472,"2026-08-23 11:51:27","reverse_00139.rds",11980944,256,46800,11980800,"REUSED"
"BLOCK_004",140,"reverse_00140.tif",3068694,"2026-08-23 11:51:30","reverse_00140.rds",11980944,256,46800,11980800,"REUSED"
"BLOCK_004",141,"reverse_00141.tif",2924930,"2026-08-23 11:51:33","reverse_00141.rds",11980944,256,46800,11980800,"REUSED"
"BLOCK_004",142,"reverse_00142.tif",2650386,"2026-08-23 11:51:35","reverse_00142.rds",11980944,256,46800,11980800,"REUSED"
"BLOCK_004",143,"reverse_00143.tif",2646340,"2026-08-23 11:51:38","reverse_00143.rds",11980944,256,46800,11980800,"REUSED"
