"BLOCK_ID","STRIPE_ID","ROW_START","ROW_END","NROWS","NCOLS","REVERSE_FILE","STREAM_FILE","STREAM_CELLS","MAX_GEOM_DELTA_CELLS","STATUS"
"BLOCK_021",1,1,256,256,7200,"index/reverse_stripes/reverse_00001.tif","index/stream_stripes/stream_00001.tif",11001,0,"EXISTS_VALID"
"BLOCK_021",2,257,512,256,7200,"index/reverse_stripes/reverse_00002.tif","index/stream_stripes/stream_00002.tif",12202,0,"EXISTS_VALID"
"BLOCK_021",3,513,768,256,7200,"index/reverse_stripes/reverse_00003.tif","index/stream_stripes/stream_00003.tif",11346,0,"EXISTS_VALID"
"BLOCK_021",4,769,1024,256,7200,"index/reverse_stripes/reverse_00004.tif","index/stream_stripes/stream_00004.tif",13505,0,"EXISTS_VALID"
"BLOCK_021",5,1025,1280,256,7200,"index/reverse_stripes/reverse_00005.tif","index/stream_stripes/stream_00005.tif",12434,0,"EXISTS_VALID"
"BLOCK_021",6,1281,1536,256,7200,"index/reverse_stripes/reverse_00006.tif","index/stream_stripes/stream_00006.tif",10988,0,"EXISTS_VALID"
"BLOCK_021",7,1537,1792,256,7200,"index/reverse_stripes/reverse_00007.tif","index/stream_stripes/stream_00007.tif",12331,0,"EXISTS_VALID"
"BLOCK_021",8,1793,2048,256,7200,"index/reverse_stripes/reverse_00008.tif","index/stream_stripes/stream_00008.tif",11905,0,"EXISTS_VALID"
"BLOCK_021",9,2049,2304,256,7200,"index/reverse_stripes/reverse_00009.tif","index/stream_stripes/stream_00009.tif",12002,0,"EXISTS_VALID"
"BLOCK_021",10,2305,2560,256,7200,"index/reverse_stripes/reverse_00010.tif","index/stream_stripes/stream_00010.tif",12116,0,"EXISTS_VALID"
"BLOCK_021",11,2561,2816,256,7200,"index/reverse_stripes/reverse_00011.tif","index/stream_stripes/stream_00011.tif",12991,0,"EXISTS_VALID"
"BLOCK_021",12,2817,3072,256,7200,"index/reverse_stripes/reverse_00012.tif","index/stream_stripes/stream_00012.tif",14965,0,"EXISTS_VALID"
"BLOCK_021",13,3073,3328,256,7200,"index/reverse_stripes/reverse_00013.tif","index/stream_stripes/stream_00013.tif",10974,0,"EXISTS_VALID"
"BLOCK_021",14,3329,3584,256,7200,"index/reverse_stripes/reverse_00014.tif","index/stream_stripes/stream_00014.tif",10123,0,"EXISTS_VALID"
"BLOCK_021",15,3585,3840,256,7200,"index/reverse_stripes/reverse_00015.tif","index/stream_stripes/stream_00015.tif",12982,0,"EXISTS_VALID"
"BLOCK_021",16,3841,4096,256,7200,"index/reverse_stripes/reverse_00016.tif","index/stream_stripes/stream_00016.tif",10809,0,"EXISTS_VALID"
"BLOCK_021",17,4097,4352,256,7200,"index/reverse_stripes/reverse_00017.tif","index/stream_stripes/stream_00017.tif",11501,0,"EXISTS_VALID"
"BLOCK_021",18,4353,4608,256,7200,"index/reverse_stripes/reverse_00018.tif","index/stream_stripes/stream_00018.tif",12156,0,"EXISTS_VALID"
"BLOCK_021",19,4609,4864,256,7200,"index/reverse_stripes/reverse_00019.tif","index/stream_stripes/stream_00019.tif",13151,0,"EXISTS_VALID"
"BLOCK_021",20,4865,5120,256,7200,"index/reverse_stripes/reverse_00020.tif","index/stream_stripes/stream_00020.tif",13165,0,"EXISTS_VALID"
"BLOCK_021",21,5121,5376,256,7200,"index/reverse_stripes/reverse_00021.tif","index/stream_stripes/stream_00021.tif",14952,0,"EXISTS_VALID"
"BLOCK_021",22,5377,5632,256,7200,"index/reverse_stripes/reverse_00022.tif","index/stream_stripes/stream_00022.tif",15330,0,"EXISTS_VALID"
"BLOCK_021",23,5633,5888,256,7200,"index/reverse_stripes/reverse_00023.tif","index/stream_stripes/stream_00023.tif",14064,0,"EXISTS_VALID"
"BLOCK_021",24,5889,6144,256,7200,"index/reverse_stripes/reverse_00024.tif","index/stream_stripes/stream_00024.tif",13260,0,"EXISTS_VALID"
"BLOCK_021",25,6145,6400,256,7200,"index/reverse_stripes/reverse_00025.tif","index/stream_stripes/stream_00025.tif",10492,0,"EXISTS_VALID"
"BLOCK_021",26,6401,6656,256,7200,"index/reverse_stripes/reverse_00026.tif","index/stream_stripes/stream_00026.tif",12310,0,"EXISTS_VALID"
"BLOCK_021",27,6657,6912,256,7200,"index/reverse_stripes/reverse_00027.tif","index/stream_stripes/stream_00027.tif",13368,0,"EXISTS_VALID"
"BLOCK_021",28,6913,7168,256,7200,"index/reverse_stripes/reverse_00028.tif","index/stream_stripes/stream_00028.tif",10075,0,"EXISTS_VALID"
"BLOCK_021",29,7169,7200,32,7200,"index/reverse_stripes/reverse_00029.tif","index/stream_stripes/stream_00029.tif",734,0,"EXISTS_VALID"
