"BLOCK_ID","STRIPE_ID","ROW_START","ROW_END","NROWS","NCOLS","REVERSE_FILE","STREAM_FILE","STREAM_CELLS","MAX_GEOM_DELTA_CELLS","STATUS"
"BLOCK_016",1,1,256,256,7200,"index/reverse_stripes/reverse_00001.tif","index/stream_stripes/stream_00001.tif",7418,0,"EXISTS_VALID"
"BLOCK_016",2,257,512,256,7200,"index/reverse_stripes/reverse_00002.tif","index/stream_stripes/stream_00002.tif",13708,0,"EXISTS_VALID"
"BLOCK_016",3,513,768,256,7200,"index/reverse_stripes/reverse_00003.tif","index/stream_stripes/stream_00003.tif",12993,0,"EXISTS_VALID"
"BLOCK_016",4,769,1024,256,7200,"index/reverse_stripes/reverse_00004.tif","index/stream_stripes/stream_00004.tif",13618,0,"EXISTS_VALID"
"BLOCK_016",5,1025,1280,256,7200,"index/reverse_stripes/reverse_00005.tif","index/stream_stripes/stream_00005.tif",14818,0,"EXISTS_VALID"
"BLOCK_016",6,1281,1536,256,7200,"index/reverse_stripes/reverse_00006.tif","index/stream_stripes/stream_00006.tif",16517,0,"EXISTS_VALID"
"BLOCK_016",7,1537,1792,256,7200,"index/reverse_stripes/reverse_00007.tif","index/stream_stripes/stream_00007.tif",16714,0,"EXISTS_VALID"
"BLOCK_016",8,1793,2048,256,7200,"index/reverse_stripes/reverse_00008.tif","index/stream_stripes/stream_00008.tif",15500,0,"EXISTS_VALID"
"BLOCK_016",9,2049,2304,256,7200,"index/reverse_stripes/reverse_00009.tif","index/stream_stripes/stream_00009.tif",14811,0,"EXISTS_VALID"
"BLOCK_016",10,2305,2560,256,7200,"index/reverse_stripes/reverse_00010.tif","index/stream_stripes/stream_00010.tif",37412,0,"EXISTS_VALID"
"BLOCK_016",11,2561,2816,256,7200,"index/reverse_stripes/reverse_00011.tif","index/stream_stripes/stream_00011.tif",14387,0,"EXISTS_VALID"
"BLOCK_016",12,2817,3072,256,7200,"index/reverse_stripes/reverse_00012.tif","index/stream_stripes/stream_00012.tif",18548,0,"EXISTS_VALID"
"BLOCK_016",13,3073,3328,256,7200,"index/reverse_stripes/reverse_00013.tif","index/stream_stripes/stream_00013.tif",16314,0,"EXISTS_VALID"
"BLOCK_016",14,3329,3584,256,7200,"index/reverse_stripes/reverse_00014.tif","index/stream_stripes/stream_00014.tif",22400,0,"EXISTS_VALID"
"BLOCK_016",15,3585,3840,256,7200,"index/reverse_stripes/reverse_00015.tif","index/stream_stripes/stream_00015.tif",16098,0,"EXISTS_VALID"
"BLOCK_016",16,3841,4096,256,7200,"index/reverse_stripes/reverse_00016.tif","index/stream_stripes/stream_00016.tif",6872,0,"EXISTS_VALID"
"BLOCK_016",17,4097,4352,256,7200,"index/reverse_stripes/reverse_00017.tif","index/stream_stripes/stream_00017.tif",6805,0,"EXISTS_VALID"
"BLOCK_016",18,4353,4608,256,7200,"index/reverse_stripes/reverse_00018.tif","index/stream_stripes/stream_00018.tif",6457,0,"EXISTS_VALID"
"BLOCK_016",19,4609,4864,256,7200,"index/reverse_stripes/reverse_00019.tif","index/stream_stripes/stream_00019.tif",6614,0,"EXISTS_VALID"
"BLOCK_016",20,4865,5120,256,7200,"index/reverse_stripes/reverse_00020.tif","index/stream_stripes/stream_00020.tif",6436,0,"EXISTS_VALID"
"BLOCK_016",21,5121,5376,256,7200,"index/reverse_stripes/reverse_00021.tif","index/stream_stripes/stream_00021.tif",6898,0,"EXISTS_VALID"
"BLOCK_016",22,5377,5632,256,7200,"index/reverse_stripes/reverse_00022.tif","index/stream_stripes/stream_00022.tif",7413,0,"EXISTS_VALID"
"BLOCK_016",23,5633,5888,256,7200,"index/reverse_stripes/reverse_00023.tif","index/stream_stripes/stream_00023.tif",8919,0,"EXISTS_VALID"
"BLOCK_016",24,5889,6144,256,7200,"index/reverse_stripes/reverse_00024.tif","index/stream_stripes/stream_00024.tif",7257,0,"EXISTS_VALID"
"BLOCK_016",25,6145,6400,256,7200,"index/reverse_stripes/reverse_00025.tif","index/stream_stripes/stream_00025.tif",7025,0,"EXISTS_VALID"
"BLOCK_016",26,6401,6656,256,7200,"index/reverse_stripes/reverse_00026.tif","index/stream_stripes/stream_00026.tif",6829,0,"EXISTS_VALID"
"BLOCK_016",27,6657,6912,256,7200,"index/reverse_stripes/reverse_00027.tif","index/stream_stripes/stream_00027.tif",6499,0,"EXISTS_VALID"
"BLOCK_016",28,6913,7168,256,7200,"index/reverse_stripes/reverse_00028.tif","index/stream_stripes/stream_00028.tif",5888,0,"EXISTS_VALID"
"BLOCK_016",29,7169,7200,32,7200,"index/reverse_stripes/reverse_00029.tif","index/stream_stripes/stream_00029.tif",736,0,"EXISTS_VALID"
