"BLOCK_ID","STRIPE_ID","ROW_START","ROW_END","NROWS","NCOLS","REVERSE_FILE","STREAM_FILE","STREAM_CELLS","MAX_GEOM_DELTA_CELLS","STATUS"
"BLOCK_009",1,1,256,256,14400,"index/reverse_stripes/reverse_00001.tif","index/stream_stripes/stream_00001.tif",10796,0,"EXISTS_VALID"
"BLOCK_009",2,257,512,256,14400,"index/reverse_stripes/reverse_00002.tif","index/stream_stripes/stream_00002.tif",11426,0,"EXISTS_VALID"
"BLOCK_009",3,513,768,256,14400,"index/reverse_stripes/reverse_00003.tif","index/stream_stripes/stream_00003.tif",11708,0,"EXISTS_VALID"
"BLOCK_009",4,769,1024,256,14400,"index/reverse_stripes/reverse_00004.tif","index/stream_stripes/stream_00004.tif",12789,0,"EXISTS_VALID"
"BLOCK_009",5,1025,1280,256,14400,"index/reverse_stripes/reverse_00005.tif","index/stream_stripes/stream_00005.tif",12744,0,"EXISTS_VALID"
"BLOCK_009",6,1281,1536,256,14400,"index/reverse_stripes/reverse_00006.tif","index/stream_stripes/stream_00006.tif",12860,0,"EXISTS_VALID"
"BLOCK_009",7,1537,1792,256,14400,"index/reverse_stripes/reverse_00007.tif","index/stream_stripes/stream_00007.tif",11081,0,"EXISTS_VALID"
"BLOCK_009",8,1793,2048,256,14400,"index/reverse_stripes/reverse_00008.tif","index/stream_stripes/stream_00008.tif",12196,0,"EXISTS_VALID"
"BLOCK_009",9,2049,2304,256,14400,"index/reverse_stripes/reverse_00009.tif","index/stream_stripes/stream_00009.tif",10934,0,"EXISTS_VALID"
"BLOCK_009",10,2305,2560,256,14400,"index/reverse_stripes/reverse_00010.tif","index/stream_stripes/stream_00010.tif",10444,0,"EXISTS_VALID"
"BLOCK_009",11,2561,2816,256,14400,"index/reverse_stripes/reverse_00011.tif","index/stream_stripes/stream_00011.tif",10675,0,"EXISTS_VALID"
"BLOCK_009",12,2817,3072,256,14400,"index/reverse_stripes/reverse_00012.tif","index/stream_stripes/stream_00012.tif",11039,0,"EXISTS_VALID"
"BLOCK_009",13,3073,3328,256,14400,"index/reverse_stripes/reverse_00013.tif","index/stream_stripes/stream_00013.tif",10569,0,"EXISTS_VALID"
"BLOCK_009",14,3329,3584,256,14400,"index/reverse_stripes/reverse_00014.tif","index/stream_stripes/stream_00014.tif",11162,0,"EXISTS_VALID"
"BLOCK_009",15,3585,3840,256,14400,"index/reverse_stripes/reverse_00015.tif","index/stream_stripes/stream_00015.tif",19715,0,"EXISTS_VALID"
"BLOCK_009",16,3841,4096,256,14400,"index/reverse_stripes/reverse_00016.tif","index/stream_stripes/stream_00016.tif",22871,0,"EXISTS_VALID"
"BLOCK_009",17,4097,4352,256,14400,"index/reverse_stripes/reverse_00017.tif","index/stream_stripes/stream_00017.tif",23945,0,"EXISTS_VALID"
"BLOCK_009",18,4353,4608,256,14400,"index/reverse_stripes/reverse_00018.tif","index/stream_stripes/stream_00018.tif",26267,0,"EXISTS_VALID"
"BLOCK_009",19,4609,4864,256,14400,"index/reverse_stripes/reverse_00019.tif","index/stream_stripes/stream_00019.tif",21838,0,"EXISTS_VALID"
"BLOCK_009",20,4865,5120,256,14400,"index/reverse_stripes/reverse_00020.tif","index/stream_stripes/stream_00020.tif",23414,0,"EXISTS_VALID"
"BLOCK_009",21,5121,5376,256,14400,"index/reverse_stripes/reverse_00021.tif","index/stream_stripes/stream_00021.tif",24121,0,"EXISTS_VALID"
"BLOCK_009",22,5377,5632,256,14400,"index/reverse_stripes/reverse_00022.tif","index/stream_stripes/stream_00022.tif",25782,0,"EXISTS_VALID"
"BLOCK_009",23,5633,5888,256,14400,"index/reverse_stripes/reverse_00023.tif","index/stream_stripes/stream_00023.tif",23947,0,"EXISTS_VALID"
"BLOCK_009",24,5889,6144,256,14400,"index/reverse_stripes/reverse_00024.tif","index/stream_stripes/stream_00024.tif",30126,0,"EXISTS_VALID"
"BLOCK_009",25,6145,6400,256,14400,"index/reverse_stripes/reverse_00025.tif","index/stream_stripes/stream_00025.tif",24292,0,"EXISTS_VALID"
"BLOCK_009",26,6401,6656,256,14400,"index/reverse_stripes/reverse_00026.tif","index/stream_stripes/stream_00026.tif",23367,0,"EXISTS_VALID"
"BLOCK_009",27,6657,6912,256,14400,"index/reverse_stripes/reverse_00027.tif","index/stream_stripes/stream_00027.tif",23236,0,"EXISTS_VALID"
"BLOCK_009",28,6913,7168,256,14400,"index/reverse_stripes/reverse_00028.tif","index/stream_stripes/stream_00028.tif",23005,0,"EXISTS_VALID"
"BLOCK_009",29,7169,7424,256,14400,"index/reverse_stripes/reverse_00029.tif","index/stream_stripes/stream_00029.tif",13450,0,"EXISTS_VALID"
"BLOCK_009",30,7425,7680,256,14400,"index/reverse_stripes/reverse_00030.tif","index/stream_stripes/stream_00030.tif",13481,0,"EXISTS_VALID"
"BLOCK_009",31,7681,7936,256,14400,"index/reverse_stripes/reverse_00031.tif","index/stream_stripes/stream_00031.tif",17654,0,"EXISTS_VALID"
"BLOCK_009",32,7937,8192,256,14400,"index/reverse_stripes/reverse_00032.tif","index/stream_stripes/stream_00032.tif",21324,0,"EXISTS_VALID"
"BLOCK_009",33,8193,8448,256,14400,"index/reverse_stripes/reverse_00033.tif","index/stream_stripes/stream_00033.tif",18273,0,"EXISTS_VALID"
"BLOCK_009",34,8449,8704,256,14400,"index/reverse_stripes/reverse_00034.tif","index/stream_stripes/stream_00034.tif",11004,0,"EXISTS_VALID"
"BLOCK_009",35,8705,8960,256,14400,"index/reverse_stripes/reverse_00035.tif","index/stream_stripes/stream_00035.tif",11615,0,"EXISTS_VALID"
"BLOCK_009",36,8961,9216,256,14400,"index/reverse_stripes/reverse_00036.tif","index/stream_stripes/stream_00036.tif",11200,0,"EXISTS_VALID"
"BLOCK_009",37,9217,9472,256,14400,"index/reverse_stripes/reverse_00037.tif","index/stream_stripes/stream_00037.tif",10773,0,"EXISTS_VALID"
"BLOCK_009",38,9473,9728,256,14400,"index/reverse_stripes/reverse_00038.tif","index/stream_stripes/stream_00038.tif",10133,0,"EXISTS_VALID"
"BLOCK_009",39,9729,9984,256,14400,"index/reverse_stripes/reverse_00039.tif","index/stream_stripes/stream_00039.tif",9534,0,"EXISTS_VALID"
"BLOCK_009",40,9985,10240,256,14400,"index/reverse_stripes/reverse_00040.tif","index/stream_stripes/stream_00040.tif",10141,0,"EXISTS_VALID"
"BLOCK_009",41,10241,10496,256,14400,"index/reverse_stripes/reverse_00041.tif","index/stream_stripes/stream_00041.tif",9953,0,"EXISTS_VALID"
"BLOCK_009",42,10497,10752,256,14400,"index/reverse_stripes/reverse_00042.tif","index/stream_stripes/stream_00042.tif",11154,0,"EXISTS_VALID"
"BLOCK_009",43,10753,10800,48,14400,"index/reverse_stripes/reverse_00043.tif","index/stream_stripes/stream_00043.tif",2135,0,"EXISTS_VALID"
