"BLOCK_ID","STRIPE_ID","ROW_START","ROW_END","NROWS","NCOLS","REVERSE_FILE","STREAM_FILE","STREAM_CELLS","MAX_GEOM_DELTA_CELLS","STATUS"
"BLOCK_002",1,1,256,256,21600,"index/reverse_stripes/reverse_00001.tif","index/stream_stripes/stream_00001.tif",23940,0,"EXISTS_VALID"
"BLOCK_002",2,257,512,256,21600,"index/reverse_stripes/reverse_00002.tif","index/stream_stripes/stream_00002.tif",28120,0,"EXISTS_VALID"
"BLOCK_002",3,513,768,256,21600,"index/reverse_stripes/reverse_00003.tif","index/stream_stripes/stream_00003.tif",27256,0,"EXISTS_VALID"
"BLOCK_002",4,769,1024,256,21600,"index/reverse_stripes/reverse_00004.tif","index/stream_stripes/stream_00004.tif",25372,0,"EXISTS_VALID"
"BLOCK_002",5,1025,1280,256,21600,"index/reverse_stripes/reverse_00005.tif","index/stream_stripes/stream_00005.tif",23974,0,"EXISTS_VALID"
"BLOCK_002",6,1281,1536,256,21600,"index/reverse_stripes/reverse_00006.tif","index/stream_stripes/stream_00006.tif",28510,0,"EXISTS_VALID"
"BLOCK_002",7,1537,1792,256,21600,"index/reverse_stripes/reverse_00007.tif","index/stream_stripes/stream_00007.tif",25716,0,"EXISTS_VALID"
"BLOCK_002",8,1793,2048,256,21600,"index/reverse_stripes/reverse_00008.tif","index/stream_stripes/stream_00008.tif",25953,0,"EXISTS_VALID"
"BLOCK_002",9,2049,2304,256,21600,"index/reverse_stripes/reverse_00009.tif","index/stream_stripes/stream_00009.tif",26784,0,"EXISTS_VALID"
"BLOCK_002",10,2305,2560,256,21600,"index/reverse_stripes/reverse_00010.tif","index/stream_stripes/stream_00010.tif",28065,0,"EXISTS_VALID"
"BLOCK_002",11,2561,2816,256,21600,"index/reverse_stripes/reverse_00011.tif","index/stream_stripes/stream_00011.tif",26774,0,"EXISTS_VALID"
"BLOCK_002",12,2817,3072,256,21600,"index/reverse_stripes/reverse_00012.tif","index/stream_stripes/stream_00012.tif",27415,0,"EXISTS_VALID"
"BLOCK_002",13,3073,3328,256,21600,"index/reverse_stripes/reverse_00013.tif","index/stream_stripes/stream_00013.tif",27829,0,"EXISTS_VALID"
"BLOCK_002",14,3329,3584,256,21600,"index/reverse_stripes/reverse_00014.tif","index/stream_stripes/stream_00014.tif",24366,0,"EXISTS_VALID"
"BLOCK_002",15,3585,3840,256,21600,"index/reverse_stripes/reverse_00015.tif","index/stream_stripes/stream_00015.tif",34999,0,"EXISTS_VALID"
"BLOCK_002",16,3841,4096,256,21600,"index/reverse_stripes/reverse_00016.tif","index/stream_stripes/stream_00016.tif",40952,0,"EXISTS_VALID"
"BLOCK_002",17,4097,4352,256,21600,"index/reverse_stripes/reverse_00017.tif","index/stream_stripes/stream_00017.tif",34979,0,"EXISTS_VALID"
"BLOCK_002",18,4353,4608,256,21600,"index/reverse_stripes/reverse_00018.tif","index/stream_stripes/stream_00018.tif",31787,0,"EXISTS_VALID"
"BLOCK_002",19,4609,4864,256,21600,"index/reverse_stripes/reverse_00019.tif","index/stream_stripes/stream_00019.tif",36667,0,"EXISTS_VALID"
"BLOCK_002",20,4865,5120,256,21600,"index/reverse_stripes/reverse_00020.tif","index/stream_stripes/stream_00020.tif",32801,0,"EXISTS_VALID"
"BLOCK_002",21,5121,5376,256,21600,"index/reverse_stripes/reverse_00021.tif","index/stream_stripes/stream_00021.tif",33958,0,"EXISTS_VALID"
"BLOCK_002",22,5377,5632,256,21600,"index/reverse_stripes/reverse_00022.tif","index/stream_stripes/stream_00022.tif",34803,0,"EXISTS_VALID"
"BLOCK_002",23,5633,5888,256,21600,"index/reverse_stripes/reverse_00023.tif","index/stream_stripes/stream_00023.tif",35040,0,"EXISTS_VALID"
"BLOCK_002",24,5889,6144,256,21600,"index/reverse_stripes/reverse_00024.tif","index/stream_stripes/stream_00024.tif",35555,0,"EXISTS_VALID"
"BLOCK_002",25,6145,6400,256,21600,"index/reverse_stripes/reverse_00025.tif","index/stream_stripes/stream_00025.tif",34179,0,"EXISTS_VALID"
"BLOCK_002",26,6401,6656,256,21600,"index/reverse_stripes/reverse_00026.tif","index/stream_stripes/stream_00026.tif",32555,0,"EXISTS_VALID"
"BLOCK_002",27,6657,6912,256,21600,"index/reverse_stripes/reverse_00027.tif","index/stream_stripes/stream_00027.tif",35180,0,"EXISTS_VALID"
"BLOCK_002",28,6913,7168,256,21600,"index/reverse_stripes/reverse_00028.tif","index/stream_stripes/stream_00028.tif",34509,0,"EXISTS_VALID"
"BLOCK_002",29,7169,7424,256,21600,"index/reverse_stripes/reverse_00029.tif","index/stream_stripes/stream_00029.tif",38912,0,"EXISTS_VALID"
"BLOCK_002",30,7425,7680,256,21600,"index/reverse_stripes/reverse_00030.tif","index/stream_stripes/stream_00030.tif",43596,0,"EXISTS_VALID"
"BLOCK_002",31,7681,7936,256,21600,"index/reverse_stripes/reverse_00031.tif","index/stream_stripes/stream_00031.tif",39164,0,"EXISTS_VALID"
